time,responses,score,phase_name,phase_id,rate
847.355,138,102,A,3,0.3504060603599687
852.079,139,103,A,3,0.35392769981389144
856.798,140,104,A,3,0.35748473233273637
861.132,141,105,A,3,0.36107751362271945
865.499,142,106,A,3,0.36470640296496376
870.519,143,107,A,3,0.36837176325142756
874.639,144,108,A,3,0.372073961021194
879.788,145,109,A,3,0.37581336649712527
884.021,146,110,A,3,0.37959035362288507
888.76,147,111,A,3,0.3834053001003335
896.022,148,112,A,3,0.3834053001003335
900.261,149,113,A,3,0.38725858742729746
904.3,150,114,A,3,0.39115060093572074
908.104,151,115,A,3,0.39508172983019746
913.017,152,116,A,3,0.3990523672268931
920.728,153,117,A,3,0.39508172983019746
922.885,154,117,A,3,0.39115060093572074
927.606,155,118,A,3,0.39508172983019746
934.311,156,119,A,3,0.39508172983019746
939.612,157,119,A,3,0.38725858742729746
941.792,158,119,A,3,0.3834053001003335
946.938,159,120,A,3,0.38725858742729746
951.195,160,121,A,3,0.39115060093572074
955.465,161,121,A,3,0.38725858742729746
955.916,162,121,A,3,0.3834053001003335
960.078,163,122,A,3,0.38725858742729746
963.961,164,123,A,3,0.39115060093572074
968.463,165,124,A,3,0.39508172983019746
972.888,166,125,A,3,0.3990523672268931
977.598,167,126,A,3,0.40306291019285617
981.569,168,127,A,3,0.4071137597857254
986.145,169,128,A,3,0.4112053210938358
990.964,170,129,A,3,0.4153380032767278
995.28,171,130,A,3,0.41951221960606366
999.112,172,131,A,3,0.42372838750695485
1004.058,173,132,A,3,0.42372838750695485
1007.863,174,133,A,3,0.42798692859970483
1014.477,175,134,A,3,0.42798692859970483
1019.497,176,134,A,3,0.41951221960606366
1021.227,177,134,A,3,0.4153380032767278
1026.08,178,134,A,3,0.4071137597857254
1027.855,179,134,A,3,0.40306291019285617
1032.236,180,135,A,3,0.4071137597857254
1042.139,181,136,A,3,0.3990523672268931
1048.483,182,137,A,3,0.3990523672268931
1053.602,183,137,A,3,0.39115060093572074
1054.872,184,137,A,3,0.38725858742729746
1058.872,185,138,A,3,0.39115060093572074
1063.014,186,139,A,3,0.39508172983019746
1067.208,187,140,A,3,0.3990523672268931
1071.221,188,141,A,3,0.40306291019285617
1075.274,189,142,A,3,0.4071137597857254
1079.899,190,143,A,3,0.4112053210938358
1084.009,191,144,A,3,0.4153380032767278
1088.035,192,145,A,3,0.41951221960606366
1094.015,193,146,B,4,0.41951221960606366
1098.742,194,147,B,4,0.42372838750695485
1107.57,195,148,B,4,0.41951221960606366
1111.636,196,149,B,4,0.42372838750695485
1115.668,197,150,B,4,0.42798692859970483
1119.183,198,151,B,4,0.4322882687419718
1123.98,199,151,B,4,0.42372838750695485
1125.379,200,151,B,4,0.41951221960606366
1129.346,201,152,B,4,0.42372838750695485
1133.836,202,153,B,4,0.42798692859970483
1137.927,203,154,B,4,0.4322882687419718
1142.522,204,155,B,4,0.43663283807135433
1146.7,205,156,B,4,0.44102107104840593
1150.447,206,157,B,4,0.44545340650008114
1154.982,207,158,B,4,0.44545340650008114
1156.638,208,158,B,4,0.44102107104840593
1162.878,209,159,B,4,0.44102107104840593
1166.881,210,160,B,4,0.44545340650008114
1173.268,211,161,B,4,0.44545340650008114
1177.432,212,162,B,4,0.4499302876636188
1181.058,213,163,B,4,0.454452162230866
1184.786,214,164,B,4,0.45901948239304763
1188.35,215,165,B,4,0.46363270488598607
1191.619,216,166,B,4,0.46829229103577497
1195.757,217,167,B,4,0.4729987068049124
1199.379,218,168,B,4,0.4777524228388972
1203.525,219,169,B,4,0.4825539145132942
1206.994,220,170,B,4,0.48740366198127216
1210.088,221,171,B,4,0.49230215022161933
1213.917,222,172,B,4,0.49724986908724184
1217.583,223,173,B,4,0.5022473133541493
1221.089,224,174,B,4,0.507294982770933
1224.804,225,175,B,4,0.5123933821087411
1228.014,226,175,B,4,0.5072949827709331
1231.292,227,176,B,4,0.5123933821087412
1234.202,228,177,B,4,0.517543021211756
1237.757,229,178,B,4,0.5227444150481793
1240.963,230,179,B,4,0.5279980837617292
1244.338,231,180,B,4,0.5333045527236551
1247.337,232,180,B,4,0.5279980837617291
1250.488,233,181,B,4,0.5333045527236551
1253.552,234,182,B,4,0.5386643525852753
1256.523,235,182,B,4,0.5333045527236551
1260.383,236,182,B,4,0.5227444150481793
1264.071,237,183,B,4,0.5279980837617292
1267.814,238,184,B,4,0.5333045527236551
1271.269,239,185,B,4,0.5386643525852753
1274.692,240,186,B,4,0.5440780193310426
1277.697,241,187,B,4,0.5495460943321427
1281.232,242,187,B,4,0.5440780193310425
1288.228,243,188,B,4,0.5386643525852752
1288.871,244,188,B,4,0.533304552723655
1292.419,245,189,B,4,0.5386643525852752
1295.606,246,190,B,4,0.5440780193310425
1299.395,247,191,B,4,0.5440780193310425
1302.894,248,192,B,4,0.5495460943321426
1306.241,249,193,B,4,0.5550691244006326
1310.113,250,194,B,4,0.5550691244006326
1311.799,251,194,B,4,0.5495460943321426
1315.547,252,194,B,4,0.5386643525852752
1317.635,253,194,B,4,0.533304552723655
1319.814,254,195,B,4,0.5386643525852752
1321.738,255,196,B,4,0.5440780193310425
1323.072,256,196,B,4,0.5386643525852752
1326.91,257,196,B,4,0.527998083761729
1328.773,258,196,B,4,0.522744415048179
1332.535,259,197,B,4,0.527998083761729
1336.55,260,198,B,4,0.527998083761729
1337.965,261,198,B,4,0.522744415048179
1341.026,262,199,B,4,0.527998083761729
1344.126,263,200,B,4,0.533304552723655
1347.344,264,201,B,4,0.5386643525852752
1350.592,265,202,B,4,0.5440780193310425
1355.593,266,203,B,4,0.5440780193310425
1358.72,267,204,B,4,0.5495460943321426
1363.934,268,205,B,4,0.5495460943321426
1367.381,269,206,B,4,0.5550691244006326
1371.03,270,207,B,4,0.5550691244006326
1372.74,271,207,B,4,0.5495460943321426
1376.007,272,208,B,4,0.5550691244006326
1379.186,273,209,B,4,0.5606476618441218
1382.662,274,210,B,4,0.5662822645210034
1385.806,275,211,B,4,0.5719734958962405
1390.521,276,212,B,4,0.5719734958962404
1394.244,277,212,B,4,0.5606476618441216
1396.162,278,212,B,4,0.5550691244006324
1398.29,279,213,B,4,0.5606476618441216
